,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
V11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027666666666666666,0.0033333333333333335,0.021,0.009666666666666667,0.009333333333333334,0.010333333333333333,0.002,0.015,0.004666666666666667,0.02266666666666667,0.006,0.037333333333333336,0.14766666666666667,0.7446666666666667,0.11533333333333333,0.004,0.005666666666666667,0.998,1.0,0.017666666666666667,0.01,0.006333333333333333,0.09366666666666666,0.049666666666666665,0.018666666666666668,0.009,0.02266666666666667,0.007666666666666666,0.017333333333333333,0.016,0.136,0.009333333333333334,0.9993333333333333,0.028666666666666667,0.03766666666666667,0.009333333333333334,0.029333333333333333,0.005
V12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020666666666666667,0.008,0.064,0.053,0.07333333333333333,1.0,0.011666666666666667,0.003,0.003,0.02,0.0026666666666666666,0.03666666666666667,0.03866666666666667,0.3253333333333333,0.0006666666666666666,0.074,0.007,0.008666666666666666,1.0,0.075,0.07266666666666667,0.17933333333333334,1.0,1.0,1.0,0.049,1.0,0.038,1.0,0.03166666666666667,0.817,0.017,0.01,0.0023333333333333335,0.036333333333333336,1.0,0.004333333333333333,0.008666666666666666
V13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.021666666666666667,0.03333333333333333,0.0,1.0,0.030333333333333334,0.17666666666666667,0.9993333333333333,0.0,0.020666666666666667,0.001,0.008333333333333333,0.019333333333333334,0.9996666666666667,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
V14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04066666666666666,0.0,0.03866666666666667,0.0,0.02,0.0,0.008666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13066666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.012333333333333333,1.0,0.0,0.012,0.0,0.011666666666666667,0.0016666666666666668,0.0013333333333333333,0.004333333333333333,0.004,0.0,0.0026666666666666666,0.0,0.999,0.023333333333333334,0.0013333333333333333,0.002,0.004,0.010333333333333333,0.06166666666666667,0.015333333333333332,0.0,0.006,1.0,0.10766666666666666,0.0,0.003,0.0016666666666666668,0.018,0.0003333333333333333,0.0,0.0,0.0,0.0
V16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666666666666666,0.0,1.0,0.011666666666666667,0.0,0.0,0.0,0.0,0.007333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050333333333333334,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.018333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0016666666666666668,0.0,0.0,0.005,0.0,0.01633333333333333,0.0,0.0,0.0,0.0,0.056666666666666664,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08266666666666667,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
