,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
V11,0.4673333333333333,0.47733333333333333,0.496,0.49733333333333335,0.49233333333333335,0.483,0.48966666666666664,0.49,0.481,0.4726666666666667,0.49266666666666664,0.0,0.31266666666666665,0.4706666666666667,0.43,0.41833333333333333,0.4483333333333333,0.4723333333333333,0.485,0.41633333333333333,0.496,0.4216666666666667,0.4266666666666667,0.462,0.24,0.043,0.23866666666666667,0.4493333333333333,0.474,0.0,0.0,0.3993333333333333,0.463,0.4643333333333333,0.33,0.3446666666666667,0.405,0.492,0.44866666666666666,0.49933333333333335,0.4676666666666667,0.44366666666666665,0.28833333333333333,0.48,0.0,0.35933333333333334,0.404,0.49166666666666664,0.422,0.49966666666666665
V12,0.49233333333333335,0.45666666666666667,0.476,0.47633333333333333,0.497,0.48033333333333333,0.479,0.49933333333333335,0.49633333333333335,0.5,0.492,0.4656666666666667,0.32133333333333336,0.45366666666666666,0.36866666666666664,0.3373333333333333,0.30233333333333334,0.0,0.3463333333333333,0.47433333333333333,0.48033333333333333,0.49166666666666664,0.407,0.4643333333333333,0.4026666666666667,0.14433333333333334,0.4866666666666667,0.33,0.461,0.4493333333333333,0.0,0.29733333333333334,0.293,0.223,0.0,0.0,0.0,0.35433333333333333,0.0,0.4483333333333333,0.0,0.371,0.022,0.495,0.4766666666666667,0.49966666666666665,0.36733333333333335,0.0,0.49633333333333335,0.4756666666666667
V13,0.485,0.49033333333333334,0.47633333333333333,0.492,0.49733333333333335,0.4656666666666667,0.4776666666666667,0.494,0.48966666666666664,0.49266666666666664,0.49766666666666665,0.49966666666666665,0.4046666666666667,0.0,0.4876666666666667,0.464,0.43266666666666664,0.36933333333333335,0.0,0.493,0.22566666666666665,0.0,0.49066666666666664,0.398,0.47833333333333333,0.44466666666666665,0.47933333333333333,0.0,0.48933333333333334,0.49366666666666664,0.473,0.361,0.425,0.499,0.49833333333333335,0.49133333333333334,0.48,0.48333333333333334,0.4846666666666667,0.49133333333333334,0.489,0.494,0.49933333333333335,0.49733333333333335,0.49066666666666664,0.48833333333333334,0.499,0.4886666666666667,0.49266666666666664,0.49433333333333335
V14,0.487,0.48933333333333334,0.47733333333333333,0.49466666666666664,0.49,0.49833333333333335,0.4806666666666667,0.49466666666666664,0.498,0.4846666666666667,0.498,0.47833333333333333,0.454,0.48733333333333334,0.4696666666666667,0.49433333333333335,0.42766666666666664,0.45666666666666667,0.31533333333333335,0.467,0.38366666666666666,0.48966666666666664,0.4846666666666667,0.48533333333333334,0.4766666666666667,0.4836666666666667,0.4886666666666667,0.49133333333333334,0.4786666666666667,0.4766666666666667,0.499,0.24166666666666667,0.49366666666666664,0.4876666666666667,0.49566666666666664,0.482,0.49766666666666665,0.4696666666666667,0.49533333333333335,0.49833333333333335,0.47833333333333333,0.49,0.471,0.4776666666666667,0.469,0.49766666666666665,0.4673333333333333,0.49866666666666665,0.49666666666666665,0.4886666666666667
V15,0.496,0.475,0.49466666666666664,0.492,0.48133333333333334,0.487,0.497,0.47533333333333333,0.5,0.4886666666666667,0.494,0.49333333333333335,0.4633333333333333,0.4703333333333333,0.4806666666666667,0.471,0.43466666666666665,0.0,0.49766666666666665,0.4716666666666667,0.49833333333333335,0.4543333333333333,0.471,0.492,0.471,0.48533333333333334,0.49566666666666664,0.4593333333333333,0.48333333333333334,0.0,0.43833333333333335,0.495,0.49666666666666665,0.487,0.43733333333333335,0.364,0.428,0.49933333333333335,0.4806666666666667,0.0,0.389,0.474,0.49233333333333335,0.473,0.43666666666666665,0.49333333333333335,0.47533333333333333,0.47533333333333333,0.484,0.48833333333333334
V16,0.487,0.49733333333333335,0.4886666666666667,0.49233333333333335,0.49833333333333335,0.483,0.4866666666666667,0.47,0.4876666666666667,0.476,0.4876666666666667,0.4653333333333333,0.4756666666666667,0.49966666666666665,0.484,0.488,0.473,0.489,0.0,0.432,0.48533333333333334,0.48966666666666664,0.497,0.4836666666666667,0.466,0.483,0.49766666666666665,0.485,0.496,0.47333333333333333,0.493,0.19133333333333333,0.471,0.48633333333333334,0.479,0.4776666666666667,0.4716666666666667,0.49333333333333335,0.49,0.497,0.49466666666666664,0.472,0.483,0.49066666666666664,0.49966666666666665,0.478,0.49433333333333335,0.475,0.49466666666666664,0.4876666666666667
V17,0.48333333333333334,0.495,0.484,0.4876666666666667,0.4826666666666667,0.48966666666666664,0.49933333333333335,0.49733333333333335,0.4726666666666667,0.4523333333333333,0.497,0.4633333333333333,0.485,0.4816666666666667,0.4756666666666667,0.4726666666666667,0.49266666666666664,0.4816666666666667,0.49733333333333335,0.473,0.3446666666666667,0.491,0.15333333333333332,0.4776666666666667,0.49233333333333335,0.49166666666666664,0.496,0.4856666666666667,0.482,0.482,0.49166666666666664,0.48333333333333334,0.49566666666666664,0.49833333333333335,0.496,0.4826666666666667,0.47533333333333333,0.48966666666666664,0.4716666666666667,0.4703333333333333,0.49533333333333335,0.489,0.494,0.45766666666666667,0.49966666666666665,0.49033333333333334,0.4876666666666667,0.49266666666666664,0.49766666666666665,0.485
V18,0.49866666666666665,0.496,0.49933333333333335,0.48633333333333334,0.48633333333333334,0.478,0.49133333333333334,0.49433333333333335,0.49266666666666664,0.488,0.49333333333333335,0.43266666666666664,0.48633333333333334,0.499,0.489,0.4666666666666667,0.49366666666666664,0.4563333333333333,0.448,0.48433333333333334,0.475,0.4716666666666667,0.417,0.49666666666666665,0.49933333333333335,0.48833333333333334,0.43233333333333335,0.4876666666666667,0.48333333333333334,0.49566666666666664,0.48933333333333334,0.49433333333333335,0.4776666666666667,0.4846666666666667,0.48966666666666664,0.48966666666666664,0.48233333333333334,0.49166666666666664,0.489,0.4846666666666667,0.48833333333333334,0.47733333333333333,0.48033333333333333,0.489,0.49966666666666665,0.495,0.4766666666666667,0.4766666666666667,0.48033333333333333,0.49966666666666665
V19,0.477,0.48533333333333334,0.48333333333333334,0.45966666666666667,0.492,0.467,0.47733333333333333,0.484,0.4673333333333333,0.49,0.491,0.4726666666666667,0.4826666666666667,0.493,0.484,0.497,0.4756666666666667,0.4806666666666667,0.49866666666666665,0.0,0.49766666666666665,0.487,0.4693333333333333,0.4816666666666667,0.49033333333333334,0.4876666666666667,0.4673333333333333,0.483,0.482,0.48633333333333334,0.49333333333333335,0.4003333333333333,0.4266666666666667,0.49,0.49333333333333335,0.4876666666666667,0.49633333333333335,0.49866666666666665,0.492,0.499,0.49633333333333335,0.49566666666666664,0.4706666666666667,0.4856666666666667,0.49733333333333335,0.476,0.485,0.487,0.4876666666666667,0.5
V20,0.492,0.49033333333333334,0.4756666666666667,0.49433333333333335,0.497,0.494,0.4786666666666667,0.5,0.49866666666666665,0.4846666666666667,0.4656666666666667,0.489,0.4726666666666667,0.475,0.485,0.487,0.49333333333333335,0.48733333333333334,0.495,0.499,0.4663333333333333,0.48333333333333334,0.48933333333333334,0.49666666666666665,0.49633333333333335,0.485,0.31833333333333336,0.487,0.48533333333333334,0.48833333333333334,0.479,0.49166666666666664,0.49233333333333335,0.49233333333333335,0.49733333333333335,0.465,0.4766666666666667,0.4826666666666667,0.4766666666666667,0.4776666666666667,0.49133333333333334,0.493,0.4703333333333333,0.49933333333333335,0.49133333333333334,0.489,0.4623333333333333,0.48133333333333334,0.495,0.4776666666666667
